No,words,transliteration,chinese,example sentence
543,favorite,/ˈfeɪvərɪt/,adj. 最喜欢的 n. 最爱,This is my favorite song.
544,commercial,/kəˈmɜːʃl/,adj. 商业的 n. 商业广告,It is a commercial success.
545,vice president,/ˌvaɪs ˈprezɪdənt/,n. 副总裁；副总统,He is the vice president of sales.
546,in bulk,/ɪn bʌlk/,大量；批发,We buy goods in bulk.
547,substandard,/ˌsʌbˈstændəd/,adj. 不合格的；低于标准的,The product was substandard.
548,stimulate,/ˈstɪmjuleɪt/,v. 刺激；促进,Lower taxes stimulate the economy.
549,anonymous,/əˈnɒnɪməs/,adj. 匿名的,He received an anonymous letter.
550,undoubtedly,/ʌnˈdaʊtɪdli/,adv. 无疑；必定,This is undoubtedly true.
551,simplify,/ˈsɪmplɪfaɪ/,v. 简化,We need to simplify the process.
552,series,/ˈsɪəriːz/,n. 系列；连续,It is a new TV series.
553,income,/ˈɪnkʌm/,n. 收入；收益,His monthly income is high.
554,trainer,/ˈtreɪnə(r)/,n. 教练；训练员,He works as a fitness trainer.
555,settlement,/ˈsetlmənt/,n. 解决；结算；定居点,They reached a settlement.
556,descend,/dɪˈsend/,v. 下降；降临,The plane began to descend.
557,set aside,/set əˈsaɪd/,留出；驳回,Set aside some time for study.
558,irrelevant,/ɪˈreləvənt/,adj. 不相关的,Your comment is irrelevant.
559,gene,/dʒiːn/,n. 基因,This is caused by a defective gene.
560,farewell,/ˌfeəˈwel/,n./int. 告别；再见,We said farewell to him.
561,hereby,/ˌhɪəˈbaɪ/,adv. 特此；据此,I hereby declare the meeting open.
562,closing,/ˈkləʊzɪŋ/,n. 结束；闭幕 adj. 结束的,The closing ceremony is tomorrow.
563,merchandise,/ˈmɜːtʃəndaɪs/,n. 商品；货物,The store sells various merchandise.
564,encourage,/ɪnˈkʌrɪdʒ/,v. 鼓励；促进,Teachers encourage students.
565,workshop,/ˈwɜːkʃɒp/,n. 车间；研讨会,We attended a training workshop.
566,susceptible,/səˈseptəbl/,adj. 易受影响的；过敏的,He is susceptible to colds.
567,reliable,/rɪˈlaɪəbl/,adj. 可靠的；可信赖的,He is a reliable friend.
568,depend,/dɪˈpend/,v. 依靠；取决于,Success depends on hard work.
569,proper,/ˈprɒpə(r)/,adj. 适当的；恰当的,Please use the proper method.
570,circumstance,/ˈsɜːkəmstəns/,n. 情况；环境,He under unusual circumstances.
571,update,/ˌʌpˈdeɪt/ /ˈʌpdeɪt/,v. 更新 n. 更新,Please update your software.
572,defer,/dɪˈfɜː(r)/,v. 推迟；延期,They decided to defer the decision.
573,physical therapy,/ˈfɪzɪkl ˈθerəpi/,n. 物理治疗；理疗,He receives physical therapy.
574,legal,/ˈliːɡl/,adj. 法律的；合法的,This is a legal document.
575,downfall,/ˈdaʊnfɔːl/,n. 垮台；衰落,Greed led to his downfall.
576,intensive,/ɪnˈtensɪv/,adj. 密集的；加强的,He took an intensive course.
577,endeavour,/ɪnˈdevə(r)/,n./v. 努力；尽力,Please endeavour to arrive early.
578,communication,/kəˌmjuːnɪˈkeɪʃn/,n. 交流；通信,Good communication is important.
579,post,/pəʊst/,n. 职位；邮件 v. 邮寄；发布,He applied for the post.
580,cut down,/kʌt daʊn/,削减；砍倒,We should cut down costs.
581,inauguration,/ɪˌnɔːɡjuˈreɪʃn/,n. 就职典礼；落成仪式,The president’s inauguration was held.
582,commute,/kəˈmjuːt/,v. 通勤,He commutes to work by train.
583,retire,/rɪˈtaɪə(r)/,v. 退休；退出,He will retire next year.
584,zip code,/zɪp kəʊd/,n. 邮政编码,What is your zip code?
585,flow chart,/fləʊ tʃɑːt/,n. 流程图,This is the project flow chart.
586,recipient,/rɪˈsɪpiənt/,n. 接受者；收件人,He is the recipient of the prize.
587,shortcut,/ˈʃɔːtkʌt/,n. 捷径,There is a shortcut to the station.
588,fugitive,/ˈfjuːdʒətɪv/,n. 逃犯 adj. 逃亡的,The police caught the fugitive.
589,item,/ˈaɪtəm/,n. 项目；物品；条款,Please check this item.
590,support,/səˈpɔːt/,v./n. 支持；支撑,I support your decision.
591,relaxation,/ˌriːlækˈseɪʃn/,n. 放松；消遣,Yoga is a form of relaxation.
592,distribution,/ˌdɪstrɪˈbjuːʃn/,n. 分配；分布；销售,The distribution of goods is fast.
593,induce,/ɪnˈdjuːs/,v. 诱导；引起,Stress can induce headaches.
594,thrive,/θraɪv/,v. 繁荣；茁壮成长,Plants thrive in sunlight.
595,minutely,/maɪˈnjuːtli/,adv. 详细地；精密地,He examined the plan minutely.
596,ingenious,/ɪnˈdʒiːniəs/,adj. 巧妙的；心灵手巧的,It is an ingenious design.
597,radical,/ˈrædɪkl/,adj. 激进的；根本的,He proposed a radical change.
598,pursue,/pəˈsjuː/,v. 追求；从事,He wants to pursue a career in art.
599,sensible,/ˈsensəbl/,adj. 明智的；合理的,That is a sensible idea.
600,enlarge,/ɪnˈlɑːdʒ/,v. 扩大；放大,We plan to enlarge the company.
601,acclaim,/əˈkleɪm/,v./n. 称赞；喝彩,The movie won critical acclaim.
602,desert,/ˈdezət/ /dɪˈzɜːt/,n. 沙漠 v. 抛弃,Camels live in the desert.
603,lane,/leɪn/,n. 车道；小巷,Stay in your driving lane.
604,variety,/vəˈraɪəti/,n. 多样；种类,There is a variety of fruits.
605,relevant,/ˈreləvənt/,adj. 相关的,Please give relevant information.
606,infinite,/ˈɪnfɪnət/,adj. 无限的；无穷的,The universe is infinite.
607,poll,/pəʊl/,n. 民意调查；投票,We conducted a poll about public opinion.
608,anticipate,/ænˈtɪsɪpeɪt/,v. 预期；预料,We anticipate a rise in sales.
609,rapid,/ˈræpɪd/,adj. 快速的,He made rapid progress in study.
610,caution,/ˈkɔːʃn/,n. 小心；警告 v. 提醒,Caution! Wet floor.
611,panic,/ˈpænɪk/,n./v. 恐慌；惊慌,Don’t panic in an emergency.
612,set out,/set aʊt/,出发；陈述；安排,We set out early in the morning.
613,summary,/ˈsʌməri/,n. 摘要；总结,Please write a summary of the report.
614,consistent,/kənˈsɪstənt/,adj. 一致的；始终如一的,His story is consistent with the truth.
615,chain,/tʃeɪn/,n. 链条；连锁,A chain of events led to the accident.
616,bear,/beə(r)/,v. 忍受；承担；生育,I can’t bear the noise anymore.
617,natural,/ˈnætʃrəl/,adj. 自然的；天生的,It is a natural phenomenon.
618,publicity,/pʌbˈlɪsəti/,n. 宣传；公众关注,The movie got a lot of publicity.
619,scar,/skɑː(r)/,n. 伤疤；伤痕 v. 留疤,The accident left a scar on his face.
620,examine,/ɪɡˈzæmɪn/,v. 检查；审查,The doctor examined the patient carefully.
621,convict,/kənˈvɪkt/ /ˈkɒnvɪkt/,v. 定罪 n. 罪犯,He was convicted of theft.
622,shipment,/ˈʃɪpmənt/,n. 装运；货物,The shipment will arrive tomorrow.
623,clause,/klɔːz/,n. 条款；从句,Read the contract clause carefully.
624,revolution,/ˌrevəˈluːʃn/,n. 革命；变革,The industrial revolution changed the world.
625,vegetarian,/ˌvedʒəˈteəriən/,n. 素食者 adj. 素食的,She has been a vegetarian for years.
626,occupy,/ˈɒkjupaɪ/,v. 占据；占领；使忙碌,Games occupy most of his time.
627,startle,/ˈstɑːtl/,v. 使惊吓；使吓一跳,The loud noise startled me.
628,imply,/ɪmˈplaɪ/,v. 暗示；意味着,His words imply that he disagrees.
629,compete,/kəmˈpiːt/,v. 竞争；比赛,We compete with other companies.
630,edible,/ˈedəbl/,adj. 可食用的,These mushrooms are edible.
631,checkup,/ˈtʃekʌp/,n. 体检；检查,I need a regular medical checkup.
632,prosper,/ˈprɒspə(r)/,v. 繁荣；成功,The business continues to prosper.
633,customize,/ˈkʌstəmaɪz/,v. 定制；个性化,We can customize the product for you.
634,tactic,/ˈtæktɪk/,n. 策略；战术,They used a new marketing tactic.
635,fire extinguisher,/ˈfaɪ ɪkˈstɪŋɡwɪʃə(r)/,n. 灭火器,Every building has a fire extinguisher.
636,adverse,/ˈædvɜːs/,adj. 不利的；有害的,Adverse weather affected the flight.
637,digital,/ˈdɪdʒɪtl/,adj. 数字的；数码的,He uses a digital camera.
638,strict,/strɪkt/,adj. 严格的,Our teacher is very strict.
639,revise,/rɪˈvaɪz/,v. 修改；修订；复习,Please revise your essay.
640,turnover,/ˈtɜːnəʊvə(r)/,n. 营业额；人员流动率,The company has a high staff turnover.
641,postal,/ˈpəʊstl/,adj. 邮政的,Please write the postal code clearly.
642,odds,/ɒdz/,n. 可能性；几率,The odds are in our favor.
643,choice,/tʃɔɪs/,n. 选择 adj. 优质的,You have made a wise choice.
644,rent,/rent/,v./n. 租用；租金,We rent an apartment downtown.
645,perfume,/ˈpɜːfjuːm/,n. 香水 v. 使芳香,She wears a nice perfume.
646,slump,/slʌmp/,n./v. 暴跌；衰退,Sales slumped last month.
647,taste,/teɪst/,n. 味道 v. 品尝,The soup has a good taste.
648,sustain,/səˈsteɪn/,v. 维持；遭受；支撑,We need to sustain economic growth.
649,customer,/ˈkʌstəmə(r)/,n. 顾客；客户,The store values every customer.
650,profit,/ˈprɒfɪt/,n. 利润 v. 获益,They made a big profit this year.
651,assurance,/əˈʃʊərəns/,n. 保证；确信,He gave me an assurance of help.
652,incorporate,/ɪnˈkɔːpəreɪt/,v. 包含；合并；并入,We incorporate new ideas into the plan.
653,overly,/ˈəʊvəli/,adv. 过度地；太,Don’t be overly worried.
654,sore,/sɔː(r)/,adj. 疼痛的；恼火的,My throat is sore.
655,tolerance,/ˈtɒlərəns/,n. 容忍；耐力,He has great tolerance for pain.
656,previous,/ˈpriːviəs/,adj. 以前的；先前的,I met him on a previous occasion.
657,merger,/ˈmɜːdʒə(r)/,n. 合并；并购,The two companies announced a merger.
658,preliminary,/prɪˈlɪmɪnəri/,adj. 初步的；预备的,We had a preliminary discussion.
659,country code,/ˈkʌntri kəʊd/,n. 国家代码,What is the country code for China?
660,synthetic,/sɪnˈθetɪk/,adj. 合成的；人造的,This is a synthetic material.
661,draft,/drɑːft/,n. 草稿 v. 起草,Please check the draft contract.
662,beverage,/ˈbevərɪdʒ/,n. 饮料,Coffee is my favorite beverage.
663,expire,/ɪkˈspaɪə(r)/,v. 过期；失效；逝世,My passport will expire next month.
664,photography,/fəˈtɒɡrəfi/,n. 摄影；摄影术,He is interested in photography.
665,freight,/freɪt/,n. 货运；货物,The freight cost is very high.
666,capability,/ˌkeɪpəˈbɪləti/,n. 能力；才能,She has great leadership capability.
667,function,/ˈfʌŋkʃn/,n. 功能 v. 运转,The function of the heart is to pump blood.
668,controversy,/ˈkɒntrəvɜːsi/,n. 争议；争论,The plan caused much controversy.
669,otherwise,/ˈʌðəwaɪz/,adv. 否则；另外,Hurry up; otherwise you’ll be late.
670,demanding,/dɪˈmɑːndɪŋ/,adj. 要求高的；费力的,She has a demanding job.
671,extremely,/ɪkˈstriːmli/,adv. 极其；非常,It is extremely cold today.
672,requisite,/ˈrekwɪzɪt/,adj. 必要的 n. 必需品,Patience is a requisite quality.
673,script,/skrɪpt/,n. 剧本；脚本；笔迹,He is writing a film script.
674,rigorous,/ˈrɪɡərəs/,adj. 严格的；缜密的,We have a rigorous testing process.
675,suppose,/səˈpəʊz/,v. 假设；认为,I suppose he is right.
676,prejudice,/ˈpredʒudɪs/,n. 偏见 v. 使有偏见,We should avoid prejudice.
677,handout,/ˈhændaʊt/,n. 讲义；传单；施舍物,Please read the handout before class.
678,therefore,/ˈðeəfɔː(r)/,adv. 因此；所以,"He is ill; therefore, he can’t come."
679,on account of,/ɒn əˈkaʊnt ɒv/,由于；因为,The game was canceled on account of rain.
680,unload,/ˌʌnˈləʊd/,v. 卸货；卸下,Workers unload goods from the truck.
681,knowledge,/ˈnɒlɪdʒ/,n. 知识；了解,He has a wide range of knowledge.
682,extraordinary,/ɪkˈstrɔːdnri/,adj. 非凡的；特别的,She has an extraordinary talent.
683,sneeze,/sniːz/,v./n. 打喷嚏,Use a tissue when you sneeze.
684,joint,/dʒɔɪnt/,adj. 共同的 n. 关节,They made a joint decision.
685,cost effective,/ˌkɒst ɪˈfektɪv/,adj. 划算的；成本效益好的,This method is very cost effective.
686,payroll,/ˈpeɪrəʊl/,n. 工资单；在职人员名单,All employees are on the payroll.
687,diplomatic,/ˌdɪpləˈmætɪk/,adj. 外交的；圆滑的,He gave a diplomatic reply.
688,call on,/kɔːl ɒn/,号召；拜访,We call on people to protect the environment.
689,region,/ˈriːdʒən/,n. 地区；区域,This region is rich in resources.
690,plague,/pleɪɡ/,n. 瘟疫；灾害 v. 困扰,A plague spread across the country.
691,vendor,/ˈvendə(r)/,n. 供应商；小贩,We work with a reliable vendor.
692,abide by,/əˈbaɪd baɪ/,遵守；遵循,Everyone must abide by the law.
693,cable,/ˈkeɪbl/,n. 电缆；电报,The Internet is connected by cable.
694,evidence,/ˈevɪdəns/,n. 证据；证明,There is no evidence to support his claim.
695,stow,/stəʊ/,v. 装载；收纳,Stow your luggage safely.
696,describe,/dɪˈskraɪb/,v. 描述；形容,Can you describe the man?
697,enormous,/ɪˈnɔːməs/,adj. 巨大的；庞大的,They made an enormous profit.
698,estimate,/ˈestɪmət/ /ˈestɪmeɪt/,n. 估计 v. 估算,"We estimate the cost at $10,000."
699,aggravate,/ˈæɡrəveɪt/,v. 加重；使恶化,Stress can aggravate the illness.
700,estate,/ɪˈsteɪt/,n. 地产；庄园；遗产,He owns a large real estate.
701,blockbuster,/ˈblɒkbʌstə(r)/,n. 大片；热门作品,The movie became a box-office blockbuster.
702,sale,/seɪl/,n. 销售；拍卖；特价,The shop is having a big sale.
703,calculate,/ˈkælkjuleɪt/,v. 计算；估算,We calculate the cost carefully.
704,upcoming,/ˈʌpkʌmɪŋ/,adj. 即将来临的,Please prepare for the upcoming exam.
705,severe,/sɪˈvɪə(r)/,adj. 严重的；严厉的,He suffered a severe injury.
706,bankruptcy,/ˈbæŋkrʌptsi/,n. 破产,The company faced bankruptcy.
707,visit,/ˈvɪzɪt/,v./n. 访问；参观,We plan to visit the museum.
708,deduction,/dɪˈdʌkʃn/,n. 扣除；推论,Tax deduction is available.
709,stunt,/stʌnt/,n. 特技；噱头 v. 阻碍成长,He performed a dangerous stunt.
710,banner,/ˈbænə(r)/,n. 横幅；旗帜,A banner hung across the street.
711,indefinitely,/ɪnˈdefɪnətli/,adv. 无限期地,The meeting is postponed indefinitely.
712,conscious,/ˈkɒnʃəs/,adj. 有意识的；清醒的,He was conscious of the danger.
713,apartment,/əˈpɑːtmənt/,n. 公寓,She lives in a small apartment.
714,justifiable,/ˈdʒʌstɪfaɪəbl/,adj. 合理的；情有可原的,His action is justifiable.
715,cabin,/ˈkæbɪn/,n. 小屋；船舱,We stayed in a wooden cabin.
716,out of business,/aʊt ɒv ˈbɪznəs/,停业；倒闭,Many shops went out of business.
717,contaminate,/kənˈtæmɪneɪt/,v. 污染；弄脏,Chemicals contaminate the water.
718,absurd,/əbˈsɜːd/,adj. 荒谬的；可笑的,His idea is totally absurd.
719,luxurious,/lʌɡˈzjʊəriəs/,adj. 奢侈的,They stayed in a luxurious hotel.
720,oppress,/əˈpres/,v. 压迫；压抑,The regime oppressed its people.
721,combine,/kəmˈbaɪn/,v. 结合；联合,We combine work and pleasure.
722,embezzle,/ɪmˈbezl/,v. 挪用；贪污,He was accused of embezzling funds.
723,attorney,/əˈtɜːni/,n. 律师；代理人,Consult your attorney first.
724,counter,/ˈkaʊntə(r)/,n. 柜台；计数器 v. 反驳,Pay at the counter.
725,appliance,/əˈplaɪəns/,n. 器具；家用电器,Kitchen appliances are on sale.
726,teller,/ˈtelə(r)/,n. 出纳员；叙述者,The bank teller helped me.
727,vehicle,/ˈviːəkl/,n. 车辆；交通工具,No parking for any vehicle.
728,occupation,/ˌɒkjuˈpeɪʃn/,n. 职业；占领,Please state your occupation.
729,stripe,/straɪp/,n. 条纹；臂章,The shirt has black and white stripes.
730,outskirts,/ˈaʊtskɜːts/,n. 郊区,He lives on the outskirts of town.
731,likeness,/ˈlaɪknəs/,n. 相似；肖像,There is a strong likeness between them.
732,provide,/prəˈvaɪd/,v. 提供；供给,We provide free breakfast.
733,humiliation,/hjuːˌmɪliˈeɪʃn/,n. 羞辱；丢脸,He suffered public humiliation.
734,reception,/rɪˈsepʃn/,n. 接待；招待会,Go to the reception desk.
735,equipment,/ɪˈkwɪpmənt/,n. 设备；装备,New sports equipment was bought.
736,automaton,/ɔːˈtɒmətən/,n. 自动装置；机器人,The factory uses an automaton.
737,defect,/ˈdiːfekt/,n. 缺陷；缺点 v. 叛变,The product has a small defect.
738,turn down,/tɜːn daʊn/,拒绝；调低,He turned down the offer.
739,sensitive,/ˈsensətɪv/,adj. 敏感的；灵敏的,She is sensitive to criticism.
740,detain,/dɪˈteɪn/,v. 拘留；耽搁,Police detained the suspect.
741,innate,/ɪˈneɪt/,adj. 天生的；天赋的,He has an innate talent for music.
742,voluntary,/ˈvɒləntri/,adj. 自愿的；志愿的,She does voluntary work.
743,participate,/pɑːˈtɪsɪpeɪt/,v. 参与；参加,Everyone participated in the game.
744,decade,/ˈdekeɪd/,n. 十年,A decade has passed.
745,volume,/ˈvɒljuːm/,n. 体积；音量；卷,Turn down the volume.
746,exercise,/ˈeksəsaɪz/,n./v. 锻炼；练习,Do exercise every day.
747,unavoidable,/ˌʌnəˈvɔɪdəbl/,adj. 不可避免的,Delay is unavoidable.
748,overall,/ˌəʊvərˈɔːl/,adj. 总的；全面的,The overall situation is good.
749,prevent,/prɪˈvent/,v. 预防；阻止,We prevent accidents.
750,unprecedented,/ʌnˈpresɪdentɪd/,adj. 前所未有的,It is an unprecedented event.
751,qualify,/ˈkwɒlɪfaɪ/,v. 取得资格；使合格,He qualified for the final.
752,override,/ˌəʊvəˈraɪd/,v. 推翻；凌驾,The manager overrode the decision.
753,prospect,/ˈprɒspekt/,n. 前景；展望,The job has good prospects.
754,article,/ˈɑːtɪkl/,n. 文章；物品；条款,Read the article carefully.
755,initial,/ɪˈnɪʃl/,adj. 最初的；字首的,The initial step is easy.
756,scarce,/skeəs/,adj. 缺乏的；稀少的,Food became scarce.
757,lately,/ˈleɪtli/,adv. 最近；近来,I haven’t seen him lately.
758,recess,/rɪˈses/,n. 休息；休会,Parliament is in recess.
759,in shape,/ɪn ʃeɪp/,身体健康；状况良好,He keeps in shape by running.
760,lack,/læk/,v./n. 缺乏；不足,We lack experience.
761,dismiss,/dɪsˈmɪs/,v. 解雇；解散；不予考虑,He was dismissed from work.
762,surgery,/ˈsɜːdʒəri/,n. 外科手术,He underwent heart surgery.
763,exotic,/ɪɡˈzɒtɪk/,adj. 异国的；奇异的,She likes exotic food.
764,refill,/ˌriːˈfɪl/,v./n. 再装满；补充,Can I refill your cup?
765,consent,/kənˈsent/,n./v. 同意；准许,He gave his consent.
766,sentence,/ˈsentəns/,n. 句子；判决 v. 判刑,The sentence was ten years.
767,expedition,/ˌekspəˈdɪʃn/,n. 远征；探险队,They went on an expedition.
768,conform,/kənˈfɔːm/,v. 遵守；符合,Conform to the rules.
769,offshore,/ˌɒfˈʃɔː(r)/,adj. 离岸的；海外的,They have offshore accounts.
770,status,/ˈsteɪtəs/,n. 地位；状态,Check your application status.
771,come into blossom,/kʌm ˈɪntu ˈblɒsəm/,开花,Cherry trees come into blossom.
772,box office,/bɒks ˈɒfɪs/,n. 票房；售票处,The movie was a box office hit.
773,defendant,/dɪˈfendənt/,n. 被告,The defendant appeared in court.
774,fluctuation,/ˌflʌktʃuˈeɪʃn/,n. 波动；起伏,Price fluctuation is normal.
775,driveway,/ˈdraɪvweɪ/,n. 车道；私家车道,Park in the driveway.
776,expand,/ɪkˈspænd/,v. 扩大；扩张,We plan to expand the business.
777,tough,/tʌf/,adj. 艰难的；坚韧的,It is a tough decision.
778,surplus,/ˈsɜːpləs/,n./adj. 过剩（的）；盈余,We have a surplus of goods.
779,perspire,/pəˈspaɪə(r)/,v. 出汗；流汗,People perspire in hot weather.
780,souvenir,/ˌsuːvəˈnɪə(r)/,n. 纪念品,I bought a souvenir from Paris.
781,be subject to,/bi ˈsʌbdʒɪkt tuː/,受…支配；易遭受,The plan is subject to change.
782,affluent,/ˈæfluənt/,adj. 富裕的；富足的,He comes from an affluent family.
783,fringe benefit,/frɪndʒ ˈbenɪfɪt/,n. 附加福利；津贴,The job includes good fringe benefits.
784,liberal,/ˈlɪbərəl/,adj. 自由的；开明的,He has a liberal attitude.
785,gradual,/ˈɡrædʒuəl/,adj. 逐渐的,There is a gradual improvement.
786,lethal,/ˈliːθl/,adj. 致命的；致死的,It is a lethal weapon.
787,testimony,/ˈtestɪməni/,n. 证词；证明,His testimony was honest.
788,screen,/skriːn/,n. 屏幕；屏风 v. 筛选,Look at the computer screen.
789,throughout,/θruːˈaʊt/,prep./adv. 遍及；自始至终,It rained throughout the day.
790,operator,/ˈɒpəreɪtə(r)/,n. 操作员；运营商,He is a phone operator.
791,in the absence of,/ɪn ði ˈæbsəns ɒv/,缺乏；不存在,We decided in the absence of facts.
792,praise,/preɪz/,v./n. 表扬；赞扬,We praise his courage.
793,sophomore,/ˈsɒfəmɔː(r)/,n. 大二学生,He is a college sophomore.
794,comparable,/ˈkɒmpərəbl/,adj. 可比较的；类似的,The prices are comparable.
795,promote,/prəˈməʊt/,v. 促进；晋升；推广,We promote our products.
796,injury,/ˈɪndʒəri/,n. 伤害；损伤,He escaped serious injury.
797,amendment,/əˈmendmənt/,n. 修正；修正案,An amendment was proposed.
798,lax,/læks/,adj. 松懈的；不严的,Security was lax.
799,attend,/əˈtend/,v. 出席；照料,Please attend the meeting.
800,negotiate,/nɪˈɡəʊʃieɪt/,v. 谈判；协商,They negotiated a peace deal.
801,erupt,/ɪˈrʌpt/,v. 爆发；喷发,The volcano may erupt.
802,fraud,/frɔːd/,n. 欺诈；骗子,He was guilty of fraud.
803,release,/rɪˈliːs/,v./n. 释放；发布,They released the news.
804,secretary,/ˈsekrətri/,n. 秘书；部长,She works as a secretary.
805,liquidity,/lɪˈkwɪdəti/,n. 流动性；资产变现能力,The company has good liquidity.
806,final,/ˈfaɪnl/,adj. 最终的；n. 决赛,This is my final decision.
807,apart,/əˈpɑːt/,adv. 分开；相隔,The two houses are 100 meters apart.
808,specific,/spəˈsɪfɪk/,adj. 具体的；特定的,Please give me a specific time.
809,exposure,/ɪkˈspəʊʒə(r)/,n. 暴露；曝光,Too much sun exposure is harmful.
810,standardize,/ˈstændədaɪz/,v. 使标准化,We standardize all working procedures.
811,allocate,/ˈæləkeɪt/,v. 分配；拨出,They allocate funds for the project.
812,infallible,/ɪnˈfæləbl/,adj. 绝对可靠的；无过失的,No one is infallible.
813,passport,/ˈpɑːspɔːt/,n. 护照,You need a passport to go abroad.
814,neighboring,/ˈneɪbərɪŋ/,adj. 邻近的,We visited a neighboring town.
815,handover,/ˈhændəʊvə(r)/,n. 移交,The handover will take place next week.
816,marble,/ˈmɑːbl/,n. 大理石,The floor is made of white marble.
817,outdated,/ˌaʊtˈdeɪtɪd/,adj. 过时的,This system is outdated.
818,upset,/ʌpˈset/,adj. 心烦的；v. 使心烦,She was upset about the result.
819,weigh,/weɪ/,v. 称重；权衡,Please weigh the apples first.
820,tax deductible,/tæks dɪˈdʌktəbl/,adj. 可抵税的,Business trips are tax deductible.
821,multilingual,/ˌmʌltiˈlɪŋɡwəl/,adj. 多语言的,He is a multilingual speaker.
822,allowance,/əˈlaʊəns/,n. 津贴；零用钱,He gets a monthly allowance.
823,have oneself to thank,/hæv wʌnˈself tu θæŋk/,自作自受,You have yourself to thank for the mistake.
824,corporate,/ˈkɔːpərət/,adj. 公司的；企业的,He works in corporate finance.
825,displease,/dɪsˈpliːz/,v. 使不快；冒犯,His words displeased the boss.
826,tie up,/taɪ ʌp/,捆绑；占用；耽搁,The meeting tied up his time.
827,minimize,/ˈmɪnɪmaɪz/,v. 使最小化,We minimize the risk of loss.
828,scale down,/skeɪl daʊn/,缩减；缩小规模,They decided to scale down the plan.
829,disappoint,/ˌdɪsəˈpɔɪnt/,v. 使失望,Don’t disappoint your parents.
830,expenditure,/ɪkˈspendɪtʃə(r)/,n. 支出；花费,We control monthly expenditure.
831,invention,/ɪnˈvenʃn/,n. 发明；创造,The telephone is a great invention.
832,disapprove,/ˌdɪsəˈpruːv/,v. 不赞成；反对,I disapprove of your plan.
833,transmission,/trænsˈmɪʃn/,n. 传输；传播,The transmission of data is fast.
834,recruit,/rɪˈkruːt/,v. 招聘；n. 新员工,We recruit new staff every year.
835,spend,/spend/,v. 花费；度过,I spend two hours reading daily.
836,accurate,/ˈækjərət/,adj. 准确的；精确的,The report is accurate.
837,victim,/ˈvɪktɪm/,n. 受害者；牺牲品,He is a victim of the fraud.
838,trademark,/ˈtreɪdmɑːk/,n. 商标,This logo is our registered trademark.
839,unwell,/ʌnˈwel/,adj. 不舒服的,She feels unwell today.
840,appoint,/əˈpɔɪnt/,v. 任命；委派,They appoint him as manager.
841,terminate,/ˈtɜːmɪneɪt/,v. 终止；结束,We terminate the contract.
842,courier,/ˈkʊriə(r)/,n. 快递员；信使,The courier delivered the package.
843,site,/saɪt/,n. 地点；现场；网站,This is the construction site.
844,pending,/ˈpendɪŋ/,adj. 待定的；未决的,The application is pending.
845,jet lag,/dʒet læɡ/,n. 时差反应,I suffer from jet lag after flights.
846,stall,/stɔːl/,n. 货摊；v. 拖延,There is a food stall on the street.
847,objective,/əbˈdʒektɪv/,n. 目标；adj. 客观的,Our objective is to increase sales.
848,be bound to,/bi baʊnd tu/,必然；一定会,It is bound to rain today.
849,touchdown,/ˈtʌtʃdaʊn/,n. 着陆；触地得分,The plane’s touchdown was smooth.
850,profound,/prəˈfaʊnd/,adj. 深刻的；渊博的,He has a profound knowledge of history.
851,slow down,/sləʊ daʊn/,减速；放慢,Please slow down your car.
852,elicit,/ɪˈlɪsɪt/,v. 引出；诱出,The question elicited a positive response.
853,topping,/ˈtɒpɪŋ/,n. 配料；顶部装饰,Ice cream with chocolate topping.
854,steering wheel,/ˈstɪərɪŋ wiːl/,n. 方向盘,Hold the steering wheel tightly.
855,portfolio,/pɔːtˈfəʊliəʊ/,n. 作品集；投资组合,She showed her design portfolio.
856,legitimate,/lɪˈdʒɪtɪmət/,adj. 合法的；正当的,This is a legitimate business.
857,section,/ˈsekʃn/,n. 部分；部门,This section is for staff only.
858,credible,/ˈkredəbl/,adj. 可信的；可靠的,His story is credible.
859,take on,/teɪk ɒn/,承担；雇佣,I will take on extra work.
860,landmark,/ˈlændmɑːk/,n. 地标；里程碑,The tower is a famous landmark.
861,accessible,/əkˈsesəbl/,adj. 可进入的；易得到的,The building is accessible to disabled people.
862,project,/ˈprɒdʒekt/,n. 项目,We are working on a new project.
863,concede,/kənˈsiːd/,v. 承认；让步,He had to concede defeat.
864,deposit,/dɪˈpɒzɪt/,n. 押金；存款,I paid a deposit for the apartment.
865,regime,/reɪˈʒiːm/,n. 政权；体制,The new regime changed many rules.
866,interpret,/ɪnˈtɜːprɪt/,v. 解释；口译,Please interpret this sentence.
867,overwhelming,/ˌəʊvəˈwelmɪŋ/,adj. 压倒性的,The support was overwhelming.
868,convene,/kənˈviːn/,v. 召集；召开,We convene a meeting tomorrow.
869,monument,/ˈmɒnjumənt/,n. 纪念碑,There is a war monument in the square.
870,frigid,/ˈfrɪdʒɪd/,adj. 寒冷的；冷淡的,The area has a frigid climate.
871,nationwide,/ˌneɪʃnˈwaɪd/,adj./adv. 全国性的,The campaign is nationwide.
872,district,/ˈdɪstrɪkt/,n. 区域；行政区,This is a business district.
873,appointment,/əˈpɔɪntmənt/,n. 预约；任命,I have a doctor’s appointment.
874,spice,/spaɪs/,n. 香料；情趣,Add some spice to the dish.
875,moderate,/ˈmɒdərət/,adj. 适度的；温和的,Eat a moderate amount of sugar.
876,patron,/ˈpeɪtrən/,n. 顾客；老主顾,He is a regular patron of the café.
